size,catfriendly,easytraining,watchdog,grooming,coldtolerant,temperament,breed,pictureurl,care,energy,playfulness,dogfriendly,strangerfriendly,protection,heattolerant,exercise,affection,index,infourl
s,3,3,6,2,4,"The Dachshund is bold, curious and always up for adventure. He likes to hunt and dig, tracking by scent and going to ground after game. He is independent but will join in its family's activities whenever given a chance. He is good with children in his own family. Some bark. The longhaired variety may be quieter and less terrier-like; the wires may be more outgoing. Some miniatures are more prone to be timid.",Dachsund (Miniature),https://www.petfinder.com/images/breeds/dog/1270.jpg,"Although Dachsunds are active, their exercise requirements can be met with moderate walks on leash and games in the yard. The Dachsund is amenable to city life or apartment living, but he is still a hunter at heart and enjoys forays into the wilds. The smooth coat requires minimal grooming. The long coat requires brushing or combing once or twice weekly and occasional trimming of stray hairs. The wire coat requires brushing or combing about once a week, with occasional trimming of stray hairs and stripping to remove dead hair twice a year.",5,4,4,2,3,4,3,4,54,https://www.petfinder.com/dog-breeds/Dachsund-(Miniature)
s,5,4,6,2,2,"This is a lively dog that needs daily exercise and interaction with his people. He loves games, and most of his exercise requirements can be met with a romp in the yard or a short walk on leash. He cannot live outdoors. Some Bostons wheeze and snore, and many don't tolerate heat well. The coat requires only minimal care, an occasional brushing to remove dead hairs.",Boston Terrier,https://www.petfinder.com/images/breeds/dog/1450.jpg,"The Boston is devoted and sensitive to its owner's wishes and moods. He is well-mannered indoors but saucy and playful (especially enjoying ball chasing) whenever the chance arises. Somewhat stubborn, he is nonetheless clever and learns readily. Some bark a lot.",4,4,4,4,2,2,2,4,32,https://www.petfinder.com/dog-breeds/Boston-Terrier
xl,4,2,6,4,6,"The Great Pyrenees is a capable and imposing guardian, devoted to her family and somewhat wary of strangers, human or canine. When not provoked, she is calm, well-mannered and somewhat serious. She is very gentle with her family and children. She has an independent, somewhat stubborn, nature and may try to dominate a less secure handler. Some are not good off leash and may wander away. The Great Pyrenees tends to bark a lot.",Great Pyrenees,https://www.petfinder.com/images/breeds/dog/2420.jpg,"The Great Pyrenees needs daily exercise to stay in shape, though her needs are not excessive. A moderate walk will usually suffice. She enjoys hiking, especially in cold weather and snow. She does not do well in hot weather. This breed enjoys being with her family indoors. Her coat needs brushing once or twice weekly, daily when shedding. She may drool at times, and she tends to be a messy drinker.",2,3,3,3,5,2,4,4,74,https://www.petfinder.com/dog-breeds/Great-Pyrenees
xl,5,2,6,4,5,"Despite his sweet looks, the kuvasz is a tough protector, fearlessly defending his family or home. He is gentle with and protective of children in his own family. He is reserved with strangers; however, he tends to be very gentle with other pets and livestock. He is devoted and loyal but not very demonstrative. Some can be domineering.",Kuvasz,https://www.petfinder.com/images/breeds/dog/2450.jpg,"The kuvasz needs daily exercise and enjoys a long walk or good run in a safe area. He does best when allowed access to both house and yard. His coat needs brushing one or two times weekly, more often during heavy shedding periods.",4,4,2,2,6,3,5,2,90,https://www.petfinder.com/dog-breeds/Kuvasz
xl,4,5,5,2,3,"The Great Dane needs daily moderate exercise. Her needs can be met with a good walk or romp. Despite her sturdy appearance, she is not suited to living outdoors and is best suited to dividing her time between indoors and out. Inside, she needs soft bedding and sufficient room to stretch out when sleeping. Some tend to drool. Coat care is minimal.",Great Dane,https://www.petfinder.com/images/breeds/dog/2410.jpg,"The Great Dane is gentle, loving, easygoing and sensitive. She is generally good with children (although her friendly overtures may overwhelm a small child) and usually friendly toward other dogs and pets. She is powerful but sensitive and responsive to training. She makes a pleasant, well-mannered family companion.",3,3,4,5,4,3,4,5,73,https://www.petfinder.com/dog-breeds/Great-Dane
xl,5,5,5,2,5,"The Greater Swiss mountain dog is a sensitive, loyal and extremely devoted family companion. He is calm and easygoing, very gentle with children as well as other pets. He is protective, alert, bold and vigilant.",Greater Swiss Mountain Dog,https://www.petfinder.com/images/breeds/dog/2430.jpg,"As befitting of a dog with working roots, this breed likes the outdoors, especially in cold weather. He needs daily exercise, either a good long walk or vigorous romp. When indoors, he needs plenty of room to stretch out. His coat needs brushing once weekly, more often when shedding.",3,3,4,3,4,3,4,4,75,https://www.petfinder.com/dog-breeds/Greater-Swiss-Mountain-Dog
s,4,3,6,4,4,"Feisty, bold, inquisitive, game, scrappy, stubborn and independent, the Norfolk is all terrier. She has been called a ""demon"" in the field, and she loves to hunt, dig and investigate. She must be exercised in a safe area. SHe is clever and amiable but strong-willed.",Norfolk Terrier,https://www.petfinder.com/images/breeds/dog/2020.jpg,"The Norfolk terrier needs an exercise outing every day, either a short to moderate walk or a lively and boisterous play session. She especially likes to hunt and investigate, but she must do so in a safe area. She is such a family-oriented dog that she is emotionally unsuited for outdoor living. She does best as a house dog with access to a yard. Her wire coat needs combing once or twice weekly, plus stripping of dead hairs three to four times yearly.",5,4,4,4,2,4,4,2,103,https://www.petfinder.com/dog-breeds/Norfolk-Terrier
s,5,5,6,4,5,"The American Eskimo is bright, eager to please, lively and fun-loving, in short, an enjoyable and generally obedient companion. True to the Spitz heritage, he is independent and tenacious and loves to run, especially in cold weather. But he is among the most biddable of Spitz breeds, and is calm and well-mannered inside. He is good with children, other dogs, and pets and is generally outgoing to everyone.",American Eskimo Dog (Miniature),https://www.petfinder.com/images/breeds/dog/1420.jpg,"The Eskie is energetic and needs a good workout every day. The extent of the workout depends on the size of the dog, with the larger Eskies needing a good jog or long walk and the smaller ones needing only a vigorous game in the yard or short walk. This breed is so attuned to his family that does better indoors. The double coat needs brushing and combing twice weekly, more often when shedding.",4,5,4,4,2,2,4,4,7,https://www.petfinder.com/dog-breeds/American-Eskimo-Dog-(Miniature)
s,3,3,6,2,4,"Although Dachshunds are active, their exercise requirements can be met with moderate walks on leash and games in the yard. The Dachshund is amenable to city life or apartment living, but he is still a hunter at heart and enjoys forays into the wilds. The smooth coat requires minimal grooming. The long coat requires brushing or combing once or twice weekly and occasional trimming of stray hairs. The wire coat requires brushing or combing about once a week, with occasional trimming of stray hairs and stripping to remove dead hair twice a year.",Dachshund (Standard),https://www.petfinder.com/images/breeds/dog/1260.jpg,"The Dachshund is bold, curious and always up for adventure. He likes to hunt and dig, tracking by scent and going to ground after game. He is independent but will join in his family's activities whenever given a chance. He is good with children in his own family. Some bark. The longhaired variety may be quieter and less terrier-like; the wires may be more outgoing. Some miniatures are more prone to be timid.",5,4,4,2,3,4,3,4,53,https://www.petfinder.com/dog-breeds/Dachshund-(Standard)
xl,5,2,6,2,4,"The bullmastiff is gentle and quiet, a devoted companion and guardian. He is not easily roused, but once threatened he is fearless. He is stubborn and cannot easily be goaded into action against his will. He is generally good with other household dogs and pets. He is good with children. The bullmastiff needs a firm but loving home. He is not for fragile or timid pet parents.",Bullmastiff,https://www.petfinder.com/images/breeds/dog/2380.jpg,"The bullmastiff is a big dog and needs daily exercise to stay in shape. His needs are moderate, however, and can be met with walks on leash and short romps. He does not do well in hot, humid weather and generally should be kept as an indoor dog. He needs a soft bed and plenty of room to stretch out. He drools; some snore. Coat care is minimal.",2,2,3,2,6,2,3,4,40,https://www.petfinder.com/dog-breeds/Bullmastiff
xl,4,4,6,3,5,"This is a serious dog, devoted to his family and his duty as family protector. At the same time, he is laid back-and easygoing, never on the lookout for trouble. He can be suspicious of strangers and can be territorial. He is good with children. As a serious watchdog, he tends to bark a lot when his suspicions are aroused.",Anatolian Shepherd,https://www.petfinder.com/images/breeds/dog/2350.jpg,"The Anatolian shepherd needs a chance to exercise every day, either with a long walk or brisk run. Coat care is minimal, consisting only of a weekly brushing to remove dead hair.",2,4,2,2,6,4,4,4,13,https://www.petfinder.com/dog-breeds/Anatolian-Shepherd
xl,4,3,5,4,5,"As a pack hound, the Otterhound is amiable with other dogs. As a hunter, he has an innate urge to follow the trails of mammals. Once on the trail, he is determined, single-minded and nearly impossible to dissuade from his task. Even though the Otterhound's job was not to kill his quarry, he will nonetheless give chase to small animals. The Otterhound loves to hunt, sniff, trail and, especially, swim. At home he is boisterous, amiable and easygoing (although stubborn), affectionate with his family, and quite good with children. Because the Otterhound was never traditionally kept as a pet, he is not among the most responsive of breeds. However, the Otterhound is a low-key dog that can function as a quiet companion.",Otterhound,https://www.petfinder.com/images/breeds/dog/1340.jpg,"The Otterhound needs daily exercise in a safe area or on a leash. He has a loud, melodious voice that carries for long distances. The Otterhound's coat requires only weekly brushing or combing. He may need his beard washed more frequently. Tidiness is not one of his virtues; the large, hairy feet tend to hold debris and mud, and the long hair around the mouth can hold water and food.",3,4,4,6,2,3,4,6,107,https://www.petfinder.com/dog-breeds/Otterhound
s,4,4,6,4,4,"The Norwich terrier, like the Norfolk, is a true terrier at heart, always ready for adventure and excitement. He is a hunter and may chase small animals. He is a pert, independent, amusing — but sometimes challenging — companion, best suited for people with a sense of adventure and humor.",Norwich Terrier,https://www.petfinder.com/images/breeds/dog/2030.jpg,"The Norwich needs to stretch his legs with a good walk or short run every day. He especially likes combining a run with a chance to explore, but any such off-leash expeditions must be done only in a safe area. He is better suited as a house dog with yard access. His wiry coat needs combing one to two times weekly, plus stripping of dead hairs three to four times a year.",5,4,4,4,2,4,4,5,105,https://www.petfinder.com/dog-breeds/Norwich-Terrier
s,3,2,6,2,2,"Although true to his terrier heritage when it comes to hunting instincts, the toy Manchester is among the gentlest and most sensitive of breeds. He is playful with his family, yet reserved, sometimes even timid, with strangers. The toy Manchester terrier is inquisitive and may chase small pets.",Manchester Terrier (Toy),https://www.petfinder.com/images/breeds/dog/2230.jpg,"This is not an outdoor breed. He enjoys a romp outdoors, but he hates the cold. Indoors, he appreciates a soft, warm bed. Coat care is minimal, consisting of occasional brushing to remove dead hair.",5,5,2,2,2,5,2,3,97,https://www.petfinder.com/dog-breeds/Manchester-Terrier-(Toy)
s,4,3,6,4,4,"One of the quieter terriers, the Aussie is nonetheless a plucky, tough character, ready to go after a rodent when the chance arises. She is fun-loving and adventurous, and needs daily exercise to keep her from becoming frustrated. She is clever and generally eager to please, making her one of the more obedient terriers. She gets along fairly well with other dogs and household pets. Reflecting her earth dog heritage, she does like to dig.",Australian Terrier,https://www.petfinder.com/images/breeds/dog/1880.jpg,"This is an active breed that needs a good outing every day, either a moderate walk, a rollicking game, or an off-lead run in a safe area. She is a good house dog and needs to spend time with her family. Her wire coat needs weekly combing plus twice yearly stripping of dead hairs (regular plucking of dead hairs will keep the coat in optimal condition year round). Some trimming around the feet will add to a tidy look.",4,4,4,3,2,4,4,4,16,https://www.petfinder.com/dog-breeds/Australian-Terrier
s,4,2,6,3,4,"The Schipperke is a bold companion, even though it can be an independent and headstrong one. This little dynamo is happiest when busy, poking his nose into every cranny and ever on the lookout for adventure. He is reserved with strangers and an alert watchdog. He can make an amiable and pleasant house dog but needs daily exercise.",Schipperke,https://www.petfinder.com/images/breeds/dog/1570.jpg,"The active nature of this breed makes exercise, both- mental and physical -imperative. His small stature makes getting that exercise fairly easy, however. Either a vigorous game in the yard or a moderate walk on leash will usually suffice to meets his needs. The Schipperke should not live outdoors. His double coat needs weekly brushing, more when shedding.",5,4,4,2,5,3,4,3,126,https://www.petfinder.com/dog-breeds/Schipperke
